playlist_id,playlist_name,owner_id,followers,total_tracks,extraction_date,processed_at
7vhaamErffNetyvUgueBs3,Jimin Painkillers 2025,316ehswh4ltlx4zkzncp7mnelpei,1,64,2025-05-14,2025-05-14 14:23:54
2wazkzhuzpipWcVKjOa7Vg,Jimin Spring 2025 Bangers,316ehswh4ltlx4zkzncp7mnelpei,2,56,2025-05-14,2025-05-14 14:23:54
