playlist_id,playlist_name,owner_id,followers,total_tracks,extraction_date,processed_at
7vhaamErffNetyvUgueBs3,JP Favorites RN,316ehswh4ltlx4zkzncp7mnelpei,1,30,2026-01-09,2026-01-09 11:31:24
2wazkzhuzpipWcVKjOa7Vg,🤯Jimin's ON REPEAT,316ehswh4ltlx4zkzncp7mnelpei,3,84,2026-01-09,2026-01-09 11:31:24
