playlist_id,playlist_name,owner_id,followers,total_tracks,extraction_date
7vhaamErffNetyvUgueBs3,Jimin Painkillers 2025,316ehswh4ltlx4zkzncp7mnelpei,1,44,2025-04-28
2wazkzhuzpipWcVKjOa7Vg,Jimin Spring 2025 Bangers,316ehswh4ltlx4zkzncp7mnelpei,1,90,2025-04-28
